yy1,myEd,sumNormW,sumLWall
569,2,50.62887382950677,0.8920442426870998
1871,2,50.69495069365748,0.8967997033155909
3977,2,50.73599479306735,0.8997582243586023
3378,3,50.73787087673293,0.89989422239706
48,2,50.798094828071704,0.9042847478478052
2555,3,50.83586171424949,0.9070469464691316
651,3,50.886843243055466,0.9107790788109204
3838,2,50.94424669128178,0.9149965706199574
1672,2,51.00943887250114,0.9197880624034859
274,2,51.07900199263329,0.924919583100119
1317,1,51.14564039316116,0.9299012968289176
2758,2,51.203488161801104,0.9342648759765627
514,3,51.251322385630836,0.9378795671334829
699,3,51.31811532595724,0.9429269125571672
729,3,51.372818988500036,0.9470607069289209
1092,2,51.435613790470526,0.9518059248338087
2323,3,51.49143242165387,0.956023974095944
3020,3,51.55800823589259,0.9610549119418265
3621,2,51.60494259332623,0.9646163807290911
1865,2,51.689821278048406,0.9710762270062389
3223,3,51.70385850993188,0.9721502386043807
1557,3,51.792898293474465,0.9789645003691906
911,2,51.85633675936538,0.9838382556855099
1717,2,51.94178733574212,0.990479535180977
1713,2,51.99531451525243,0.9946472175357974
4079,3,52.06391923972169,1.0000153300988508
393,3,52.09057621459385,1.0021016614989264
2636,2,52.14285397991375,1.0062595379903183
1035,3,52.195819237259414,1.0105106408877618
